QuarterEnd,PCU48214821
2025-09-30,240.63350000000003
2025-06-30,240.37466666666668
2025-03-31,240.42600000000002
2024-12-31,237.231
2024-09-30,237.27633333333333
2024-06-30,235.76233333333334
2024-03-31,234.70899999999997
2023-12-31,234.25033333333332
2023-09-30,229.611
2023-06-30,229.821
2023-03-31,232.92466666666667
2022-12-31,231.52033333333335
2022-09-30,231.72133333333332
2022-06-30,227.246
2022-03-31,217.03266666666664
2021-12-31,213.08933333333334
2021-09-30,209.33033333333333
2021-06-30,206.0666666666667
2021-03-31,201.53333333333333
2020-12-31,197.79999999999998
2020-09-30,196.53333333333333
2020-06-30,197.29999999999998
2020-03-31,199.9
2019-12-31,198.70000000000002
2019-09-30,198.4333333333333
2019-06-30,198.26666666666665
2019-03-31,196.0
2018-12-31,195.9
2018-09-30,193.5666666666667
2018-06-30,191.13333333333333
2018-03-31,187.70000000000002
2017-12-31,184.76666666666665
2017-09-30,181.4666666666667
2017-06-30,181.16666666666666
2017-03-31,180.0
2016-12-31,177.33333333333334
2016-09-30,176.26666666666665
2016-06-30,174.23333333333335
2016-03-31,174.0
2015-12-31,176.66666666666666
2015-09-30,178.79999999999998
2015-06-30,179.83333333333334
2015-03-31,182.6
2014-12-31,186.0
2014-09-30,187.13333333333333
2014-06-30,187.29999999999998
2014-03-31,185.6
2013-12-31,183.79999999999998
2013-09-30,182.76666666666665
2013-06-30,183.5
2013-03-31,182.29999999999998
2012-12-31,179.9
2012-09-30,177.26666666666665
2012-06-30,178.46666666666667
2012-03-31,174.20000000000002
2011-12-31,171.79999999999998
2011-09-30,172.6
2011-06-30,171.46666666666667
2011-03-31,163.33333333333334
2010-12-31,157.79999999999998
2010-09-30,157.1
2010-06-30,156.43333333333334
2010-03-31,153.6
2009-12-31,150.66666666666666
2009-09-30,149.16666666666666
2009-06-30,146.33333333333334
2009-03-31,147.76666666666665
2008-12-31,157.4
2008-09-30,163.5
2008-06-30,156.29999999999998
2008-03-31,151.9
2007-12-31,146.4
2007-09-30,142.53333333333333
2007-06-30,138.6
2007-03-31,136.13333333333333
2006-12-31,137.23333333333335
2006-09-30,139.16666666666666
2006-06-30,135.16666666666666
2006-03-31,132.03333333333333
2005-12-31,132.23333333333332
2005-09-30,126.3
2005-06-30,123.39999999999999
2005-03-31,118.86666666666667
2004-12-31,116.53333333333335
2004-09-30,113.83333333333333
2004-06-30,112.23333333333333
2004-03-31,110.89999999999999
2003-12-31,109.46666666666665
2003-09-30,109.2
2003-06-30,109.0
2003-03-31,107.7
2002-12-31,107.0
2002-09-30,106.7
2002-06-30,106.46666666666665
2002-03-31,106.26666666666667
2001-12-31,105.76666666666667
2001-09-30,104.63333333333333
2001-06-30,103.83333333333333
2001-03-31,103.89999999999999
2000-12-31,103.36666666666667
2000-09-30,102.73333333333333
2000-06-30,102.33333333333333
2000-03-31,102.13333333333333
1999-12-31,101.59999999999998
1999-09-30,101.46666666666665
1999-06-30,101.3
1999-03-31,100.96666666666665
1998-12-31,101.56666666666666
1998-09-30,101.73333333333333
1998-06-30,101.7
1998-03-31,101.73333333333333
1997-12-31,100.93333333333334
1997-09-30,100.73333333333333
1997-06-30,100.3
1997-03-31,100.0
1996-12-31,100.0
