QuarterEnd,PCU3359913359910
2025-09-30,240.88549999999998
2025-06-30,252.3603333333333
2025-03-31,256.941
2024-12-31,254.788
2024-09-30,253.63833333333332
2024-06-30,252.73033333333333
2024-03-31,249.94766666666666
2023-12-31,239.7733333333333
2023-09-30,240.164
2023-06-30,239.69066666666666
2023-03-31,239.364
2022-12-31,237.81066666666666
2022-09-30,222.13233333333332
2022-06-30,197.965
2022-03-31,195.72299999999998
2021-12-31,191.295
2021-09-30,190.49366666666666
2021-06-30,206.30000000000004
2021-03-31,188.76666666666665
2020-12-31,230.96666666666667
2020-09-30,230.79999999999998
2020-06-30,230.73333333333335
2020-03-31,230.73333333333335
2019-12-31,229.5333333333333
2019-09-30,249.69999999999996
2019-06-30,289.9
2019-03-31,315.76666666666665
2018-12-31,315.4
2018-09-30,315.4
2018-06-30,242.69999999999996
2018-03-31,205.73333333333335
2017-12-31,186.86666666666667
2017-09-30,179.16666666666666
2017-06-30,157.66666666666666
2017-03-31,144.43333333333334
2016-12-31,144.4
2016-09-30,144.4
2016-06-30,144.4
2016-03-31,159.4333333333333
2015-12-31,160.20000000000002
2015-09-30,161.0
2015-06-30,161.4
2015-03-31,162.46666666666667
2014-12-31,161.53333333333333
2014-09-30,161.36666666666667
2014-06-30,162.6
2014-03-31,164.20000000000002
2013-12-31,170.6
2013-09-30,171.6
2013-06-30,172.96666666666667
2013-03-31,173.29999999999998
2012-12-31,172.80000000000004
2012-09-30,173.0
2012-06-30,180.13333333333333
2012-03-31,179.26666666666665
2011-12-31,162.93333333333334
2011-09-30,162.6
2011-06-30,162.26666666666665
2011-03-31,159.6
2010-12-31,165.13333333333333
2010-09-30,168.0
2010-06-30,167.29999999999998
2010-03-31,167.46666666666667
2009-12-31,185.03333333333333
2009-09-30,193.36666666666667
2009-06-30,192.83333333333334
2009-03-31,170.23333333333335
2008-12-31,159.20000000000002
2008-09-30,156.06666666666666
2008-06-30,155.63333333333333
2008-03-31,152.23333333333335
2007-12-31,141.5666666666667
2007-09-30,140.73333333333335
2007-06-30,139.26666666666668
2007-03-31,142.0666666666667
2006-12-31,145.96666666666667
2006-09-30,143.03333333333333
2006-06-30,142.5
2006-03-31,137.26666666666668
2005-12-31,132.9333333333333
2005-09-30,131.66666666666666
2005-06-30,132.06666666666666
2005-03-31,127.53333333333335
2004-12-31,118.8
2004-09-30,118.86666666666667
2004-06-30,117.53333333333335
2004-03-31,115.06666666666666
2003-12-31,112.16666666666667
2003-09-30,111.7
2003-06-30,109.8
2003-03-31,110.83333333333333
2002-12-31,111.10000000000001
2002-09-30,111.33333333333333
2002-06-30,111.3
2002-03-31,113.23333333333333
2001-12-31,118.60000000000001
2001-09-30,120.5
2001-06-30,121.3
2001-03-31,122.39999999999999
2000-12-31,124.5
2000-09-30,124.2
2000-06-30,124.89999999999999
2000-03-31,127.2
1999-12-31,129.43333333333334
1999-09-30,129.7
1999-06-30,129.96666666666667
1999-03-31,131.9
1998-12-31,132.4
1998-09-30,138.33333333333334
1998-06-30,139.23333333333335
1998-03-31,138.93333333333334
1997-12-31,138.6
1997-09-30,138.06666666666666
1997-06-30,137.70000000000002
1997-03-31,134.63333333333333
1996-12-31,129.9333333333333
1996-09-30,129.46666666666667
1996-06-30,128.5
1996-03-31,125.39999999999999
1995-12-31,122.43333333333334
1995-09-30,122.73333333333333
1995-06-30,121.8
1995-03-31,118.53333333333335
1994-12-31,118.03333333333335
1994-09-30,117.7
1994-06-30,115.86666666666667
1994-03-31,115.86666666666667
1993-12-31,112.0
1993-09-30,111.66666666666667
1993-06-30,109.09999999999998
1993-03-31,108.96666666666665
1992-12-31,106.3
1992-09-30,105.96666666666665
1992-06-30,103.86666666666667
1992-03-31,102.33333333333333
1991-12-31,101.93333333333334
1991-09-30,103.56666666666666
1991-06-30,103.83333333333333
1991-03-31,103.0
1990-12-31,102.46666666666665
1990-09-30,101.86666666666667
1990-06-30,102.43333333333334
1990-03-31,101.5
1989-12-31,99.93333333333334
1989-09-30,99.56666666666666
1989-06-30,98.66666666666667
1989-03-31,96.56666666666666
1988-12-31,96.76666666666667
1988-09-30,96.39999999999999
1988-06-30,95.39999999999999
1988-03-31,95.46666666666665
1987-12-31,96.39999999999999
1987-09-30,97.26666666666667
1987-06-30,97.06666666666666
1987-03-31,97.73333333333333
1986-12-31,99.66666666666667
1986-09-30,101.60000000000001
1986-06-30,101.53333333333335
1986-03-31,104.23333333333333
1985-12-31,105.09999999999998
1985-09-30,101.66666666666667
1985-06-30,100.0
1985-03-31,99.8
1984-12-31,102.7
1984-09-30,102.59999999999998
1984-06-30,102.59999999999998
1984-03-31,102.59999999999998
1983-12-31,102.59999999999998
1983-09-30,102.53333333333335
1983-06-30,102.40000000000002
1983-03-31,102.10000000000001
1982-12-31,102.0
1982-09-30,104.63333333333333
1982-06-30,109.8
1982-03-31,109.66666666666667
1981-12-31,104.0
1981-09-30,101.76666666666667
1981-06-30,101.10000000000001
1981-03-31,93.66666666666667
1980-12-31,90.86666666666667
1980-09-30,87.33333333333333
1980-06-30,86.0
1980-03-31,80.2
1979-12-31,75.03333333333335
1979-09-30,73.0
1979-06-30,70.96666666666667
1979-03-31,69.06666666666666
1978-12-31,67.9
1978-09-30,66.56666666666668
1978-06-30,64.9
1978-03-31,64.43333333333334
1977-12-31,59.9
1977-09-30,59.9
1977-06-30,59.5
1977-03-31,59.4
1976-12-31,57.199999999999996
1976-09-30,56.06666666666666
1976-06-30,55.76666666666667
1976-03-31,55.70000000000001
1975-12-31,54.699999999999996
1975-09-30,51.5
1975-06-30,51.5
1975-03-31,51.36666666666667
1974-12-31,47.13333333333333
1974-09-30,41.300000000000004
1974-06-30,36.06666666666667
1974-03-31,33.23333333333333
1973-12-31,32.8
1973-09-30,32.8
1973-06-30,32.8
1973-03-31,32.199999999999996
1972-12-31,31.100000000000005
1972-09-30,31.100000000000005
1972-06-30,31.066666666666666
1972-03-31,31.0
1971-12-31,31.0
1971-09-30,31.0
1971-06-30,31.0
1971-03-31,30.833333333333332
1970-12-31,30.7
1970-09-30,29.46666666666667
1970-06-30,28.766666666666666
1970-03-31,28.766666666666666
1969-12-31,28.53333333333333
1969-09-30,28.5
1969-06-30,27.8
1969-03-31,27.600000000000005
1968-12-31,27.600000000000005
1968-09-30,27.600000000000005
1968-06-30,27.600000000000005
1968-03-31,27.5
1967-12-31,27.399999999999995
1967-09-30,27.399999999999995
1967-06-30,27.399999999999995
1967-03-31,27.399999999999995
1966-12-31,27.399999999999995
1966-09-30,26.399999999999995
1966-06-30,26.266666666666666
1966-03-31,26.0
1965-12-31,26.0
1965-09-30,26.0
1965-06-30,26.0
1965-03-31,26.0
1964-12-31,26.0
1964-09-30,26.0
1964-06-30,25.866666666666664
1964-03-31,25.733333333333334
1963-12-31,25.633333333333336
1963-09-30,25.600000000000005
1963-06-30,25.600000000000005
1963-03-31,25.600000000000005
1962-12-31,25.600000000000005
1962-09-30,25.600000000000005
1962-06-30,25.600000000000005
1962-03-31,25.600000000000005
1961-12-31,25.600000000000005
1961-09-30,25.600000000000005
1961-06-30,25.600000000000005
1961-03-31,25.600000000000005
1960-12-31,25.6
