QuarterEnd,CES0500000003
2025-09-30,36.480000000000004
2025-06-30,36.20666666666667
2025-03-31,35.916666666666664
2024-12-31,35.589999999999996
2024-09-30,35.21
2024-06-30,34.88
2024-03-31,34.56
2023-12-31,34.19
2023-09-30,33.906666666666666
2023-06-30,33.54333333333333
2023-03-31,33.163333333333334
2022-12-31,32.833333333333336
2022-09-30,32.446666666666665
2022-06-30,32.086666666666666
2022-03-31,31.7
2021-12-31,31.27
2021-09-30,30.80333333333333
2021-06-30,30.396666666666665
2021-03-31,30.01
2020-12-31,29.7
2020-09-30,29.46666666666667
2020-06-30,29.713333333333335
2020-03-31,28.569999999999997
2019-12-31,28.316666666666666
2019-09-30,28.11
2019-06-30,27.876666666666665
2019-03-31,27.683333333333334
2018-12-31,27.456666666666667
2018-09-30,27.209999999999997
2018-06-30,26.973333333333333
2018-03-31,26.77
2017-12-31,26.55666666666667
2017-09-30,26.403333333333336
2017-06-30,26.213333333333335
2017-03-31,26.060000000000002
2016-12-31,25.909999999999997
2016-09-30,25.723333333333333
2016-06-30,25.576666666666668
2016-03-31,25.400000000000002
2015-12-31,25.233333333333334
2015-09-30,25.070000000000004
2015-06-30,24.94333333333333
2015-03-31,24.8
2014-12-31,24.623333333333335
2014-09-30,24.52333333333333
2014-06-30,24.400000000000002
2014-03-31,24.290000000000003
2013-12-31,24.143333333333334
2013-09-30,24.02
2013-06-30,23.906666666666666
2013-03-31,23.77333333333333
2012-12-31,23.636666666666667
2012-09-30,23.516666666666666
2012-06-30,23.416666666666668
2012-03-31,23.3
2011-12-31,23.19666666666667
2011-09-30,23.096666666666664
2011-06-30,22.963333333333335
2011-03-31,22.87
2010-12-31,22.743333333333336
2010-09-30,22.626666666666665
2010-06-30,22.51
2010-03-31,22.44333333333333
2009-12-31,22.336666666666662
2009-09-30,22.22666666666667
2009-06-30,22.12
2009-03-31,21.99666666666667
2008-12-31,21.853333333333335
2008-09-30,21.679999999999996
2008-06-30,21.456666666666667
2008-03-31,21.27
2007-12-31,21.116666666666667
2007-09-30,20.993333333333336
2007-06-30,20.853333333333335
2007-03-31,20.666666666666668
2006-12-31,20.496666666666666
2006-09-30,20.336666666666666
2006-06-30,20.169999999999998
2006-03-31,20.05
