Quarter,CPI-Adjusted Cost,Unadjusted Cost,QuarterEnd
2024Q4,34250.0,34250.0,2024-12-31
2024Q3,92142.0,92142.0,2024-09-30
2024Q2,35694.7,35490.0,2024-06-30
2024Q1,20626.9,20223.0,2024-03-31
2023Q4,1314.4,1276.0,2023-12-31
2023Q3,20071.7,19486.0,2023-09-30
2023Q2,52207.9,50013.0,2023-06-30
2023Q1,16874.6,16070.0,2023-03-31
2022Q4,14757.900000000001,13965.0,2022-12-31
2022Q3,125313.1,117115.0,2022-09-30
2022Q2,22411.3,20744.0,2022-06-30
2022Q1,25981.1,23229.0,2022-03-31
2021Q4,6494.6,5697.0,2021-12-31
2021Q3,91407.3,79442.0,2021-09-30
2021Q2,24049.1,20567.0,2021-06-30
2021Q1,42347.8,35235.0,2021-03-31
2020Q4,10502.0,8679.0,2020-12-31
2020Q3,78765.2,64994.0,2020-09-30
2020Q2,22412.6,18294.0,2020-06-30
2020Q1,8904.9,7299.0,2020-03-31
2019Q4,2113.1,1718.0,2019-12-31
2019Q3,9370.1,7618.0,2019-09-30
2019Q2,19523.2,15862.0,2019-06-30
2019Q1,24509.100000000002,19668.5,2019-03-31
2018Q4,31218.8,24975.0,2018-12-31
2018Q3,34326.8,27461.0,2018-09-30
2018Q2,44533.2,35546.0,2018-06-30
2018Q1,5955.1,4689.0,2018-03-31
2017Q3,339200.0,265000.0,2017-09-30
2017Q2,40146.5,31108.0,2017-06-30
2017Q1,16589.7,12782.0,2017-03-31
2016Q4,13100.0,10000.0,2016-12-31
2016Q3,15220.0,11465.6,2016-09-30
2016Q2,19518.4,14798.8,2016-06-30
2016Q1,13371.5,10053.400000000001,2016-03-31
2015Q4,5266.9,3960.1000000000004,2015-12-31
2015Q2,15643.9,11756.0,2015-06-30
2015Q1,9998.6,7428.1,2015-03-31
2014Q3,3224.5,2432.1000000000004,2014-09-30
2014Q2,14044.9,10563.5,2014-06-30
2014Q1,8268.2,6124.4,2014-03-31
2013Q4,1472.2,1090.6,2013-12-31
2013Q3,3443.2,2550.4,2013-09-30
2013Q2,9117.4,6734.8,2013-06-30
2013Q1,18284.7,13367.9,2013-03-31
2012Q4,88453.9,65039.6,2012-12-31
2012Q3,3786.1,2763.5,2012-09-30
2012Q2,20545.2,14943.6,2012-06-30
2012Q1,46023.1,33132.4,2012-03-31
2011Q4,1285.8,925.0,2011-12-31
2011Q3,26821.800000000003,19280.9,2011-09-30
2011Q2,50153.1,35716.4,2011-06-30
2011Q1,19675.2,13759.0,2011-03-31
2010Q4,5472.0,3800.0,2010-12-31
2010Q3,1375.1,948.3,2010-09-30
2010Q2,9449.5,6501.1,2010-06-30
2010Q1,3885.3999999999996,2661.2,2010-03-31
2009Q3,2781.8,1898.5,2009-09-30
2009Q2,6807.0,4631.1,2009-06-30
2009Q1,10224.0,6872.7,2009-03-31
