QuarterEnd,DTWEXBGS
2025-12-31,121.59965090909091
2025-09-30,120.65480375180375
2025-06-30,122.70576726551225
2025-03-31,127.86473191311613
2024-12-31,126.05927360446572
2024-09-30,122.91019606060605
2024-06-30,122.92981068580542
2024-03-31,121.01123714285715
2023-12-31,121.82890388888889
2023-09-30,120.20410768115941
2023-06-30,119.58297316017315
2023-03-31,120.31900861174677
2022-12-31,124.8643776984127
2022-09-30,123.56234972739821
2022-06-30,118.96322063492063
2022-03-31,115.4516081464531
2021-12-31,114.96551714285715
2021-09-30,113.31257878787879
2021-06-30,111.81884575757574
2021-03-31,112.2908385668277
2020-12-31,113.93222566137565
2020-09-30,117.33712438672438
2020-06-30,121.8658896969697
2020-03-31,117.67220529353688
2019-12-31,116.40639195374801
2019-09-30,116.50206272727273
2019-06-30,115.42910742424242
2019-03-31,114.54438727513228
2018-12-31,115.73634846092504
2018-09-30,113.6561700228833
2018-06-30,110.61078455988456
2018-03-31,107.98469248955723
2017-12-31,110.97617039682541
2017-09-30,109.94022028985506
2017-06-30,113.92973318181818
2017-03-31,116.52067208237986
2016-12-31,115.82901285714286
2016-09-30,112.07750715665976
2016-06-30,110.90573924963924
2016-03-31,113.80317126811593
2015-12-31,112.40620616883116
