QuarterEnd,US_Scrap_Exports
2025-09-30,4141773607.5
2025-06-30,3876542310.0
2025-03-31,3452043008.0
2024-12-31,3960082426.0
2024-09-30,4030090949.0
2024-06-30,4145135466.0
2024-03-31,3732814727.0
2023-12-31,3656214347.0
2023-09-30,3522671790.0
2023-06-30,3838419193.0
2023-03-31,3678125401.0
2022-12-31,3544943874.0
2022-09-30,3599842917.0
2022-06-30,4824810426.0
2022-03-31,4169247885.0
2021-12-31,4032981418.0
2021-09-30,4265957341.0
2021-06-30,3985660099.0
2021-03-31,3389048383.0
2020-12-31,2869880584.0
2020-09-30,2463337293.0
2020-06-30,1969998972.0
2020-03-31,2434297867.0
2019-12-31,2458187270.0
2019-09-30,2613924035.0
2019-06-30,2909246492.0
2019-03-31,2447744583.0
2018-12-31,2876784016.0
2018-09-30,2872237574.0
2018-06-30,3048680622.0
2018-03-31,2905848534.0
2017-12-31,2941675446.0
2017-09-30,2562100910.0
2017-06-30,2348916049.0
2017-03-31,2154441877.0
2016-12-31,2121859177.0
2016-09-30,1955131544.0
2016-06-30,2047448202.0
2016-03-31,1592064856.0
2015-12-31,1985767445.0
2015-09-30,2308196929.0
2015-06-30,2719429295.0
2015-03-31,2258731121.0
